Modelo_ID,AB2,Resistividad_Aparente
S2-MFA-VER,24.0,2.7521905646949674
S2-MFA-VER,28.0,2.9805818562003674
S2-MFA-VER,30.0,3.660558650471672
S2-MFA-VER,34.0,4.21880568459011
S2-MFA-VER,38.0,3.4113133659419352
S2-MFA-VER,40.0,3.943719902456633
S2-MFA-VER,44.0,4.821739686391349
S2-MFA-VER,48.0,5.391777616456719
S2-MFA-VER,50.0,4.579043935660127
S2-MFA-VER,55.0,4.93735088110814
S2-MFA-VER,60.0,6.070038595153517
S2-MFA-VER,65.0,5.756484046137295
S2-MFA-VER,70.0,6.743848669016636
S2-MFA-VER,75.0,8.2770714639795
S2-MFA-VER,80.0,7.960026895615492
S2-MFA-VER,85.0,8.423899676256774
S2-MFA-VER,90.0,6.579263305793685
S2-MFA-VER,95.0,8.8815347494359
S2-MFA-VER,100.0,9.607513665056649
S3-MFA-VER,1.0,24.9598865872688
S3-MFA-VER,2.0,27.98408697135446
S3-MFA-VER,4.0,36.48617888618361
S3-MFA-VER,5.0,34.825425059078874
S3-MFA-VER,7.0,47.84843084069993
S3-MFA-VER,8.0,40.02863521940823
S3-MFA-VER,10.0,48.68643453982824
S3-MFA-VER,12.0,53.81747856945531
S3-MFA-VER,15.0,59.29186795223531
S3-MFA-VER,18.0,44.49422433982822
S3-MFA-VER,20.0,55.98193463164465
S3-MFA-VER,24.0,45.96006605372978
S3-MFA-VER,28.0,42.523978681628755
S3-MFA-VER,30.0,48.366028056882996
S3-MFA-VER,34.0,48.174876256992334
S3-MFA-VER,38.0,34.077602391322166
S3-MFA-VER,40.0,37.02281152688863
S3-MFA-VER,44.0,40.34205405124627
S3-MFA-VER,48.0,40.658967117108894
S3-MFA-VER,50.0,32.90713239611378
S3-MFA-VER,55.0,31.768558532217284
S3-MFA-VER,60.0,35.39575688474097
S3-MFA-VER,65.0,30.728895189729503
S3-MFA-VER,70.0,33.2327032106383
S3-MFA-VER,75.0,37.918280250224385
S3-MFA-VER,80.0,34.10143361431853
S3-MFA-VER,85.0,33.91960159919516
S3-MFA-VER,90.0,25.008249884804055
S3-MFA-VER,95.0,31.989349764425814
S3-MFA-VER,100.0,32.898930244744115
S1-OA-VER,1.0,2.0204435866081787
S1-OA-VER,2.0,2.3167009972612465
S1-OA-VER,3.0,2.744206556792998
S1-OA-VER,4.0,2.73469663555266
S1-OA-VER,5.0,3.703622733297699
S1-OA-VER,8.0,3.716708753657081
S1-OA-VER,10.0,4.723439477902552
S1-OA-VER,12.0,5.485031207394442
S1-OA-VER,15.0,6.552724882457893
